date,repo,childSha,parentSha,childBranch,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,test_newHitLines,test_newNonHitLines,test_newFileHitLines,test_newFileNonHitLines,test_deletedLinesTested,test_deletedLinesNotTested,test_deletedFileLinesTested,test_deletedFileLinesNotTested,test_oldLinesNewlyTested,test_oldLinesNoLongerTested,test_modifiedLinesNewlyHit,test_modifiedLinesStillHit,test_modifiedLinesNotHit,test_nStatementsInBoth,test_nStatementsInEither,test_totalStatementsHitNow,test_totalStatementsHitPrev,test_totalStatementsNow,test_totalStatementsPrev,src_newHitLines,src_newNonHitLines,src_newFileHitLines,src_newFileNonHitLines,src_deletedLinesTested,src_deletedLinesNotTested,src_deletedFileLinesTested,src_deletedFileLinesNotTested,src_oldLinesNewlyTested,src_oldLinesNoLongerTested,src_modifiedLinesNewlyHit,src_modifiedLinesStillHit,src_modifiedLinesNotHit,src_nStatementsInBoth,src_nStatementsInEither,src_totalStatementsHitNow,src_totalStatementsHitPrev,src_totalStatementsNow,src_totalStatementsPrev
2016-06-21 23:51:55,square-retrofit,2b59c4b6fe289e1d293fea533c5a4de2fcce85f6,49a87b383473c4492d99a71897460078ffd350e9,master,1,1,0,0,0,1,0,0,0,0,0,0,0,4253,4254,4254,4253,6795,6794,1,1,0,0,0,1,0,0,0,0,0,0,0,2970,2971,2971,2970,4399,4398,0,0,0,0,0,0,0,0,0,0,0,0,0,1283,1283,1283,1283,2396,2396
2016-08-02 15:06:56,square-retrofit,c0bef604924007b5bcebf221ea626e4b7807c18b,fccedbeb4d5181c926fff450cdf5c5116ef0eeaa,master,0,8,0,0,0,0,0,0,0,0,0,0,0,4271,4271,4271,4271,6822,6814,0,8,0,0,0,0,0,0,0,0,0,0,0,2991,2991,2991,2991,4430,4422,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,1280,1280,1280,2392,2392
2017-07-18 21:53:05,square-retrofit,2a888b38edad368ec6805b386657c48d1b465018,a2ca2aa4fc49518ed93403cdae1dbad7a5045be1,master,3,0,0,0,3,2,0,0,0,0,0,0,0,6868,6874,6871,6871,9894,9893,1,0,0,0,1,0,0,0,0,0,0,0,0,5206,5208,5207,5207,6996,6995,2,0,0,0,2,2,0,0,0,0,0,0,0,1662,1666,1664,1664,2898,2898
2017-04-24 17:58:49,square-retrofit,3594bf900243868dbff2265b0bacb8fe14385257,bd8e38d406fff637ed69b1b312a8e439aa28b012,master,0,0,0,0,0,0,0,0,0,0,0,0,0,6344,6344,6344,6344,9292,9292,0,0,0,0,0,0,0,0,0,0,0,0,0,4737,4737,4737,4737,6451,6451,0,0,0,0,0,0,0,0,0,0,0,0,0,1607,1607,1607,1607,2841,2841
2016-05-06 03:25:48,square-retrofit,2d8edc034af617e317a78509284b7adf93895c74,da766e8be9f8f61d5ddcf2fd0640c9bb8ff6f127,master,10,0,0,0,1,0,0,0,0,0,0,0,0,4210,4221,4220,4211,6741,6731,9,0,0,0,0,0,0,0,0,0,0,0,0,2935,2944,2944,2935,4360,4351,1,0,0,0,1,0,0,0,0,0,0,0,0,1275,1277,1276,1276,2381,2380
2016-04-03 14:33:13,square-retrofit,d03c87f6066c005c3336ebd8cbc85ec983dfc6d2,eb8dd8880eccdde6c9e1ac496ec9dd49acfa88ab,master,2,0,0,0,1,0,0,0,0,0,0,0,0,4153,4156,4155,4154,6609,6607,0,0,0,0,0,0,0,0,0,0,0,0,0,2887,2887,2887,2887,4259,4259,2,0,0,0,1,0,0,0,0,0,0,0,0,1266,1269,1268,1267,2350,2348
2016-06-06 05:57:50,square-retrofit,2f6d3fbcd0a88fc3e4d154d93404c432b587e013,28d350d99430c87b4ada7d1aa9e08c96884cb388,master,32,22,0,0,4,2,0,0,0,0,0,0,0,4221,4257,4253,4225,6794,6742,24,12,0,0,2,0,0,0,0,0,0,0,0,2946,2972,2970,2948,4398,4362,8,10,0,0,2,2,0,0,0,0,0,0,0,1275,1285,1283,1277,2396,2380
2017-05-13 00:47:00,square-retrofit,a2ca2aa4fc49518ed93403cdae1dbad7a5045be1,f35914b3010b909fb9c490f1a67819409fc8a303,master,29,7,381,55,1,0,0,0,19,0,0,0,0,6442,6872,6871,6443,9896,9424,20,3,381,55,1,0,0,0,2,0,0,0,0,4804,5208,5207,4805,6996,6537,9,4,0,0,0,0,0,0,17,0,0,0,0,1638,1664,1664,1638,2900,2887
2017-02-05 00:26:54,square-retrofit,26c8790492e4f863926e077eb3267e8cbbefc600,8dfc7b8ff00ab64126ac86f205bf74b686e8c6ed,master,6,0,0,0,4,0,0,0,0,0,0,0,0,6347,6357,6353,6351,9310,9304,0,0,0,0,0,0,0,0,0,0,0,0,0,4742,4742,4742,4742,6460,6460,6,0,0,0,4,0,0,0,0,0,0,0,0,1605,1615,1611,1609,2850,2844
2016-04-08 12:24:58,square-retrofit,2839881866f01910f7631d9ed14714a9fc7d736c,9de61e0672ab0468d42bceb536db55007821769d,master,7,2,33,11,2,7,0,0,2,0,0,0,0,4153,4197,4195,4155,6653,6608,0,0,33,11,0,0,0,0,0,0,0,0,0,2887,2920,2920,2887,4303,4259,7,2,0,0,2,7,0,0,2,0,0,0,0,1266,1277,1275,1268,2350,2349
