repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
ManageIQ/ui-components,22c58e77a77fdc78085b23adfaec74ecd6292fe5,75e29394f8914eb8988c705198b97d7f2274556f,master,1518795049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ManageIQ/ui-components,75e29394f8914eb8988c705198b97d7f2274556f,9f23a05c1ba72719f932e892382770255ca8001c,master,1518705896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,5
ManageIQ/ui-components,9f23a05c1ba72719f932e892382770255ca8001c,e2887d6801dff81b2f5dee19640444816e56c675,master,1518622113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ManageIQ/ui-components,e2887d6801dff81b2f5dee19640444816e56c675,2ed33ecdc7484661057fc33485326291b670b58d,master,1518619654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,32,2
ManageIQ/ui-components,2ed33ecdc7484661057fc33485326291b670b58d,c07afbc46a80fb846a2426f1e54726380c7a6290,v1.1.5,1518537331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ManageIQ/ui-components,c07afbc46a80fb846a2426f1e54726380c7a6290,37ef25409d5db4f6357326eab1b3429158fc6784,master,1518534854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,19,26,0,0,47,0
ManageIQ/ui-components,37ef25409d5db4f6357326eab1b3429158fc6784,9474ca9f9323c568fdc885aeb025aa58c0bb7fc8,master,1518453684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ManageIQ/ui-components,9474ca9f9323c568fdc885aeb025aa58c0bb7fc8,5ed676376531362d9db88d93de2a99dbdc15c066,master,1518448323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,3,3
ManageIQ/ui-components,5ed676376531362d9db88d93de2a99dbdc15c066,e1c90f31dd1f0aad9191dc9a994c44015e403d63,v1.1.2,1518211589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ManageIQ/ui-components,e1c90f31dd1f0aad9191dc9a994c44015e403d63,f80f6174fcb244c93f96b1b81bfefb95d18fc5c4,master,1518210672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,20,32,0,0,68,10
ManageIQ/ui-components,f80f6174fcb244c93f96b1b81bfefb95d18fc5c4,2bb47948b307ef2b2374a14bdc7c55db92c01f24,master,1518110941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ManageIQ/ui-components,2bb47948b307ef2b2374a14bdc7c55db92c01f24,b22b01369c36241875b038cc76d5d05675d8302b,master,1518107665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,36,15
ManageIQ/ui-components,b22b01369c36241875b038cc76d5d05675d8302b,f3f2e66fd72cfca199a0196fe30c696355271d44,master,1518006377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6253
ManageIQ/ui-components,f3f2e66fd72cfca199a0196fe30c696355271d44,5fe8fd5cf5c9634b51f9f52b8890d490abd7e0f3,master,1518004351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,351
ManageIQ/ui-components,5fe8fd5cf5c9634b51f9f52b8890d490abd7e0f3,0225b6e0067d12942890f03028cc0bbb2a0b1491,master,1517933347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
ManageIQ/ui-components,0225b6e0067d12942890f03028cc0bbb2a0b1491,e9d41ef2d585b923b8f06dbae39856cb1b3b0932,master,1517931327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,2,3,7
ManageIQ/ui-components,e9d41ef2d585b923b8f06dbae39856cb1b3b0932,a54e285ae28dcb39a6b6699c6fe2c41a7fca29b4,master,1517928864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
